algorithm,episode,return,length
diffusion,1,14.64305244540704,200
diffusion,2,103.2246033248587,200
diffusion,3,-1.09092462962594,200
diffusion,4,222.37408679013066,200
diffusion,5,-67.47207642018009,200
diffusion,6,-90.68419307963684,200
diffusion,7,88.63774723651252,200
diffusion,8,2.160620360056313,200
diffusion,9,148.8378428540121,200
diffusion,10,-51.037184993230426,200
ppo,1,178.11036526383398,200
ppo,2,112.58299580069314,200
ppo,3,104.1230281185335,200
ppo,4,158.6358701106016,200
ppo,5,174.8855273494409,200
ppo,6,95.75955087286808,200
ppo,7,136.0914311287502,200
ppo,8,151.22805273945804,200
ppo,9,327.0290917023459,200
ppo,10,133.97134947768518,200
